"variable","PIP"
"x9",0.980625
"x15",0.856
"x4",0.81325
"x7",0.793375
"x11",0.7635
"x20",0.61625
"x17",0.571
"x12",0.51825
"x2",0.5165
"x5",0.507625
"x8",0.466625
"x10",0.463875
"x16",0.447375
"x3",0.446875
"x14",0.431375
"x13",0.4205
"x6",0.40825
"x1",0.398125
"x18",0.3725
"x19",0.357625
